Navn;Url
skatteetaten.no;https://uustatus.no/nb/erklaringer/publisert/0193e69a-7038-4809-9859-e71ddc747071
Tips oss;https://uustatus.no/nb/erklaringer/publisert/461f43ab-f826-46b5-a664-8caea74d7e0c
Tabelltrekk;https://uustatus.no/nb/erklaringer/publisert/39f00367-5950-4917-8521-6c2faf74f784
Skatteetaten designsystem - Github;https://uustatus.no/nb/erklaringer/publisert/90be03a3-13e4-4979-8c88-f38727fb77e0
Beregn skatt;https://uustatus.no/nb/erklaringer/publisert/47f7a6da-c7f3-4f1f-a5ae-ce4eee7c4c8a
Beregn skatten din for 2023;https://uustatus.no/nb/erklaringer/publisert/8174d150-d11c-4685-a6a1-12024c7bf2ba
Min side;https://uustatus.no/nb/erklaringer/publisert/85917b0d-c897-4f1c-a9cb-94e7ff359c4b
Selvbetjening motorvogn;https://uustatus.no/nb/erklaringer/publisert/e1c1e944-48f2-47ac-be68-21824d833339
Innboks;https://uustatus.no/nb/erklaringer/publisert/a677a1b4-b156-4e05-8754-e62c218f056e
Min side virksomhet;https://uustatus.no/nb/erklaringer/publisert/85917b0d-c897-4f1c-a9cb-94e7ff359c4b
Min skatt og mine skattedokumenter;https://uustatus.no/nb/erklaringer/publisert/4fd1edd9-7157-4e62-bd8c-63a991c4102a
Folkeregister;https://uustatus.no/nb/erklaringer/publisert/3eea216f-0c8c-4d81-ba12-c63aa7e16e4c
Aksjeoppgaven;https://uustatus.no/nb/erklaringer/publisert/8c79a29b-693a-432c-b404-b2dc280ff7bc
Endre skattekort;https://uustatus.no/nb/erklaringer/publisert/2e9af915-796a-4b03-8f51-fe1d0f76850a
Skatt delegering;https://uustatus.no/nb/erklaringer/publisert/a220a476-5308-4a4f-91f8-2589cfb4cd52
Mine inntekter og arbeidsforhold;https://uustatus.no/nb/erklaringer/publisert/d2083279-2df2-46a7-9ea9-63fd71a58af0
Melding om kildeskatt på renter, royalty og leiebetalinger;https://uustatus.no/nb/erklaringer/publisert/46f94252-a1d0-4161-9192-5fe073f98228
Skattelister for mediehus;https://uustatus.no/nb/erklaringer/publisert/f8134272-66a6-4139-85e7-eeb9c64e1cb0
Internasjonal rapportering CRS/FATCA;https://uustatus.no/nb/erklaringer/publisert/23a46c06-1d7f-46ce-aff3-ff2367d9f86f
Tredjepartsopplysninger - tilskudd til vitenskapelig forskning eller yrkesopplæring;https://uustatus.no/nb/erklaringer/publisert/65d9e9e9-1611-4fd6-bcca-1fd5ca56646d
Tredjepartsopplysninger - nye opplysninger til oppgavegiverregisteret;https://uustatus.no/nb/erklaringer/publisert/9026f9d6-8ab5-4fb8-bba6-88aaeb18dbcf
